participant_id,trial_id,chart_type,permuted,is_correct,response_time_ms
1331ff8d-0505-445c-ad40-be699e378037,cf-np-04,colorfield,ordered,True,31627.0
1331ff8d-0505-445c-ad40-be699e378037,cf-np-09,colorfield,ordered,False,13566.0
1331ff8d-0505-445c-ad40-be699e378037,cf-p-06,colorfield,permuted,True,7798.0
1331ff8d-0505-445c-ad40-be699e378037,line-np-03,line chart,ordered,False,16590.0
1331ff8d-0505-445c-ad40-be699e378037,line-p-03,line chart,permuted,False,9699.0
1331ff8d-0505-445c-ad40-be699e378037,line-p-00,line chart,permuted,False,5323.0
1331ff8d-0505-445c-ad40-be699e378037,line-np-05,line chart,ordered,True,8778.0
1331ff8d-0505-445c-ad40-be699e378037,cf-np-02,colorfield,ordered,True,8721.0
1331ff8d-0505-445c-ad40-be699e378037,cf-p-09,colorfield,permuted,False,10924.0
1331ff8d-0505-445c-ad40-be699e378037,cf-np-08,colorfield,ordered,True,6322.0
1331ff8d-0505-445c-ad40-be699e378037,line-p-07,line chart,permuted,False,9297.0
1331ff8d-0505-445c-ad40-be699e378037,cf-np-00,colorfield,ordered,False,8317.0
1331ff8d-0505-445c-ad40-be699e378037,cf-p-04,colorfield,permuted,False,6493.0
1331ff8d-0505-445c-ad40-be699e378037,cf-np-03,colorfield,ordered,False,6857.0
1331ff8d-0505-445c-ad40-be699e378037,cf-np-05,colorfield,ordered,True,13663.0
1331ff8d-0505-445c-ad40-be699e378037,cf-p-02,colorfield,permuted,True,9632.0
1331ff8d-0505-445c-ad40-be699e378037,line-np-08,line chart,ordered,False,5507.0
1331ff8d-0505-445c-ad40-be699e378037,line-p-09,line chart,permuted,False,4787.0
1331ff8d-0505-445c-ad40-be699e378037,cf-p-05,colorfield,permuted,True,6829.0
1331ff8d-0505-445c-ad40-be699e378037,cf-np-01,colorfield,ordered,False,8355.0
1331ff8d-0505-445c-ad40-be699e378037,cf-np-06,colorfield,ordered,True,12015.0
1331ff8d-0505-445c-ad40-be699e378037,cf-p-03,colorfield,permuted,False,7232.0
1331ff8d-0505-445c-ad40-be699e378037,line-np-09,line chart,ordered,False,10288.0
1331ff8d-0505-445c-ad40-be699e378037,line-np-01,line chart,ordered,False,8918.0
1331ff8d-0505-445c-ad40-be699e378037,cf-p-01,colorfield,permuted,False,6693.0
1331ff8d-0505-445c-ad40-be699e378037,line-p-02,line chart,permuted,True,9130.0
1331ff8d-0505-445c-ad40-be699e378037,line-np-00,line chart,ordered,True,8989.0
1331ff8d-0505-445c-ad40-be699e378037,line-p-06,line chart,permuted,False,4073.0
1331ff8d-0505-445c-ad40-be699e378037,line-np-02,line chart,ordered,True,5333.0
1331ff8d-0505-445c-ad40-be699e378037,cf-p-08,colorfield,permuted,False,8481.0
1331ff8d-0505-445c-ad40-be699e378037,line-np-04,line chart,ordered,False,5339.0
1331ff8d-0505-445c-ad40-be699e378037,line-p-01,line chart,permuted,False,4919.0
1331ff8d-0505-445c-ad40-be699e378037,line-p-04,line chart,permuted,True,10164.0
1331ff8d-0505-445c-ad40-be699e378037,cf-np-07,colorfield,ordered,True,7655.0
1331ff8d-0505-445c-ad40-be699e378037,cf-p-07,colorfield,permuted,False,7012.0
1331ff8d-0505-445c-ad40-be699e378037,line-np-07,line chart,ordered,True,9785.0
1331ff8d-0505-445c-ad40-be699e378037,cf-p-00,colorfield,permuted,True,8920.0
1331ff8d-0505-445c-ad40-be699e378037,line-p-05,line chart,permuted,True,4759.0
1331ff8d-0505-445c-ad40-be699e378037,line-p-08,line chart,permuted,False,5723.0
1331ff8d-0505-445c-ad40-be699e378037,line-np-06,line chart,ordered,False,8527.0
455d9f8f-8d6d-4e81-ba05-fb6c0ea99283,cf-np-00,colorfield,ordered,False,42472.0
455d9f8f-8d6d-4e81-ba05-fb6c0ea99283,cf-p-01,colorfield,permuted,False,10469.0
455d9f8f-8d6d-4e81-ba05-fb6c0ea99283,cf-np-01,colorfield,ordered,True,18935.0
455d9f8f-8d6d-4e81-ba05-fb6c0ea99283,line-p-00,line chart,permuted,False,14804.0
455d9f8f-8d6d-4e81-ba05-fb6c0ea99283,cf-np-02,colorfield,ordered,True,11026.0
455d9f8f-8d6d-4e81-ba05-fb6c0ea99283,line-p-05,line chart,permuted,True,7000.0
455d9f8f-8d6d-4e81-ba05-fb6c0ea99283,cf-np-04,colorfield,ordered,True,10299.0
455d9f8f-8d6d-4e81-ba05-fb6c0ea99283,line-np-09,line chart,ordered,False,34557.0
455d9f8f-8d6d-4e81-ba05-fb6c0ea99283,cf-p-07,colorfield,permuted,False,18922.0
455d9f8f-8d6d-4e81-ba05-fb6c0ea99283,line-np-01,line chart,ordered,False,15316.0
455d9f8f-8d6d-4e81-ba05-fb6c0ea99283,cf-np-06,colorfield,ordered,True,15672.0
455d9f8f-8d6d-4e81-ba05-fb6c0ea99283,line-np-02,line chart,ordered,False,14626.0
455d9f8f-8d6d-4e81-ba05-fb6c0ea99283,line-p-01,line chart,permuted,True,10489.0
455d9f8f-8d6d-4e81-ba05-fb6c0ea99283,cf-np-09,colorfield,ordered,False,10573.0
455d9f8f-8d6d-4e81-ba05-fb6c0ea99283,cf-p-00,colorfield,permuted,True,12388.0
455d9f8f-8d6d-4e81-ba05-fb6c0ea99283,line-p-08,line chart,permuted,False,8784.0
455d9f8f-8d6d-4e81-ba05-fb6c0ea99283,cf-p-09,colorfield,permuted,True,10478.0
455d9f8f-8d6d-4e81-ba05-fb6c0ea99283,cf-p-02,colorfield,permuted,True,8662.0
455d9f8f-8d6d-4e81-ba05-fb6c0ea99283,line-np-04,line chart,ordered,False,18392.0
455d9f8f-8d6d-4e81-ba05-fb6c0ea99283,cf-np-03,colorfield,ordered,False,8313.0
455d9f8f-8d6d-4e81-ba05-fb6c0ea99283,cf-np-08,colorfield,ordered,True,6994.0
455d9f8f-8d6d-4e81-ba05-fb6c0ea99283,line-np-07,line chart,ordered,False,13061.0
455d9f8f-8d6d-4e81-ba05-fb6c0ea99283,line-np-06,line chart,ordered,True,20225.0
455d9f8f-8d6d-4e81-ba05-fb6c0ea99283,line-p-04,line chart,permuted,False,15460.0
455d9f8f-8d6d-4e81-ba05-fb6c0ea99283,line-p-03,line chart,permuted,False,20111.0
